Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,633.200012,639.419983,626.780029,627.039978,627.039978,2862500
2021-10-12,633.020020,637.659973,621.989990,624.940002,624.940002,3227300
2021-10-13,632.179993,632.179993,622.099976,629.760010,629.760010,2420300
2021-10-14,632.229980,636.880005,626.789978,633.799988,633.799988,2671700
2021-10-15,638.000000,639.419983,625.159973,628.289978,628.289978,4116900
2021-10-18,632.099976,638.409973,620.590027,637.969971,637.969971,4669100
2021-10-19,636.969971,641.000000,632.299988,639.000000,639.000000,7633100
2021-10-20,625.570007,637.400024,617.150024,625.140015,625.140015,10622000
2021-10-21,628.890015,654.010010,628.650024,653.159973,653.159973,8437100
2021-10-22,651.809998,665.460022,651.809998,664.780029,664.780029,6186000
2021-10-25,663.739990,675.880005,657.070007,671.659973,671.659973,3833500
2021-10-26,673.760010,676.489990,662.770020,668.520020,668.520020,2904800
2021-10-27,669.000000,671.409973,661.849976,662.919983,662.919983,2276900
2021-10-28,670.950012,676.799988,668.030029,674.049988,674.049988,2859400
2021-10-29,673.059998,690.969971,671.239990,690.309998,690.309998,3825300
2021-11-01,689.059998,689.969971,676.539978,681.169983,681.169983,3110900
2021-11-02,683.109985,687.679993,673.820007,677.719971,677.719971,3888600
2021-11-03,677.270020,689.390015,677.270020,688.289978,688.289978,2334900
2021-11-04,685.890015,685.940002,665.500000,668.400024,668.400024,4865000
2021-11-05,663.969971,665.640015,645.010010,645.719971,645.719971,5283500
2021-11-08,650.289978,656.000000,643.789978,651.450012,651.450012,2887500
2021-11-09,653.700012,660.500000,650.520020,655.989990,655.989990,2415600
2021-11-10,653.010010,660.330017,642.109985,646.909973,646.909973,2405800
2021-11-11,650.239990,665.820007,649.710022,657.580017,657.580017,2868300
2021-11-12,660.010010,683.340027,653.820007,682.609985,682.609985,4198400
2021-11-15,681.239990,685.260010,671.489990,679.330017,679.330017,2872200
2021-11-16,678.270020,688.359985,676.900024,687.400024,687.400024,2077400
2021-11-17,690.000000,700.989990,686.090027,691.690002,691.690002,2732800
2021-11-18,691.609985,691.739990,679.739990,682.020020,682.020020,2012900
2021-11-19,692.349976,694.159973,675.000000,678.799988,678.799988,2613700
2021-11-22,676.020020,679.479980,656.469971,659.200012,659.200012,2764400
2021-11-23,658.179993,666.429993,646.049988,654.059998,654.059998,2320200
2021-11-24,658.010010,661.440002,651.099976,658.289978,658.289978,1867300
2021-11-26,675.000000,676.409973,660.669983,665.640015,665.640015,2872500
2021-11-29,663.200012,667.989990,658.289978,663.840027,663.840027,2529400
2021-11-30,668.200012,675.380005,640.010010,641.900024,641.900024,5608900
2021-12-01,649.479980,654.520020,617.070007,617.770020,617.770020,3882800
2021-12-02,617.099976,625.359985,612.880005,616.469971,616.469971,3331100
2021-12-03,622.750000,625.500000,594.000000,602.130005,602.130005,4829300
2021-12-06,606.010010,617.289978,601.000000,612.690002,612.690002,3075700
2021-12-07,619.830017,628.890015,611.400024,625.580017,625.580017,3125200
2021-12-08,630.000000,632.460022,623.200012,628.080017,628.080017,2220300
2021-12-09,627.580017,630.239990,610.440002,611.000000,611.000000,2376300
2021-12-10,616.780029,617.739990,605.880005,611.659973,611.659973,2748800
2021-12-13,612.000000,612.640015,599.520020,604.559998,604.559998,2517900
2021-12-14,598.710022,602.289978,588.130005,597.989990,597.989990,2984500
2021-12-15,598.179993,605.690002,584.510010,605.039978,605.039978,2866200
2021-12-16,597.090027,602.830017,588.000000,591.059998,591.059998,3143200
2021-12-17,591.609985,593.250000,581.739990,586.729980,586.729980,4386900
2021-12-20,586.429993,602.880005,584.260010,593.739990,593.739990,3358400
2021-12-21,597.539978,607.820007,593.859985,604.919983,604.919983,2319400
2021-12-22,603.359985,614.820007,602.630005,614.239990,614.239990,2335700
2021-12-23,616.400024,616.880005,607.570007,614.090027,614.090027,1621100
2021-12-27,615.000000,615.000000,609.250000,613.119995,613.119995,2061500
2021-12-28,614.950012,618.409973,609.690002,610.710022,610.710022,1882800
2021-12-29,610.710022,613.979980,604.679993,610.539978,610.539978,1287200
2021-12-30,612.989990,620.609985,611.239990,612.090027,612.090027,1625100
2021-12-31,610.010010,614.080017,602.049988,602.440002,602.440002,1995900
